"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.283753663e-4,1.022658371e1,4.694238281e-1,3.216810608e-1,1.024240459e1
1.014937554e-2,1.103175934e1,-3.327580261e-1,-3.300636292e-1,1.104171110e1
2.017037477e-2,1.194186676e1,-1.269959106e0,-8.524772644e-1,1.203942255e1
3.019037470e-2,1.269165756e1,-2.106419678e0,-1.073717194e0,1.290999784e1
4.021137487e-2,1.291020309e1,-2.652484131e0,-9.357041931e-1,1.321304501e1
5.023237504e-2,1.223405914e1,-2.738106079e0,-5.388793945e-1,1.254829945e1
6.025337521e-2,1.082548828e1,-2.371518402e0,-2.670446777e-1,1.108542326e1
7.027437538e-2,9.330397339e0,-1.647174683e0,-1.552272034e-1,9.475948207e0
8.029537462e-2,8.277935944e0,-6.664141846e-1,-4.191284180e-3,8.304718473e0
9.031637479e-2,7.999065857e0,3.402424622e-1,2.112107849e-1,8.009084187e0
1.003373750e-1,8.429869995e0,1.303639069e0,3.481759644e-1,8.537178073e0
1.103583751e-1,9.428144073e0,1.855092316e0,4.812492371e-1,9.620959879e0
1.203793753e-1,1.052326675e1,1.952689362e0,5.415737915e-1,1.071659653e1
1.304003755e-1,1.126482468e1,1.693727875e0,4.438270569e-1,1.140008647e1
1.404213747e-1,1.144729523e1,1.103205872e0,2.161505127e-1,1.150236290e1
1.504423749e-1,1.111468689e1,3.179388428e-1,-3.412902832e-2,1.111928570e1
1.604633750e-1,1.049737061e1,-4.616400146e-1,-2.224374390e-1,1.050987058e1
1.704843752e-1,9.847422180e0,-1.115180969e0,-3.632945251e-1,9.917022492e0
1.805053754e-1,9.368717651e0,-1.641336823e0,-4.412823486e-1,9.521637837e0
1.905263746e-1,9.137448578e0,-2.023492126e0,-4.764591980e-1,9.370939135e0
2.005473748e-1,9.148824921e0,-2.243085480e0,-4.514611816e-1,9.430601630e0
2.105683750e-1,9.285790100e0,-2.325563965e0,-4.278103638e-1,9.582127491e0
2.205893751e-1,9.441166992e0,-2.273921356e0,-4.567002869e-1,9.721878813e0
2.306103753e-1,9.561516724e0,-2.116149445e0,-4.546046448e-1,9.803435924e0
2.406313755e-1,9.586065674e0,-1.915566559e0,-4.055067444e-1,9.783991316e0
2.506513754e-1,9.527986450e0,-1.684746552e0,-3.222798157e-1,9.681154942e0
2.606723746e-1,9.399852905e0,-1.462009735e0,-1.930984497e-1,9.514830220e0
2.706933748e-1,9.303902435e0,-1.304986267e0,-7.110214233e-2,9.395245883e0
2.807143750e-1,9.256900177e0,-1.226399689e0,6.616241455e-2,9.338020912e0
2.907353751e-1,9.304501190e0,-1.234183502e0,2.300715637e-1,9.388816978e0
3.007563753e-1,9.424252167e0,-1.288071442e0,3.016227722e-1,9.516650316e0
3.107773755e-1,9.566606140e0,-1.371448059e0,3.116519165e-1,9.669433786e0
3.207983747e-1,9.710457001e0,-1.465003510e0,2.993774414e-1,9.824909022e0
3.308193749e-1,9.764195251e0,-1.506467285e0,2.800675964e-1,9.883693158e0
3.408403751e-1,9.784852295e0,-1.523980865e0,2.417472839e-1,9.905770735e0
3.508613752e-1,9.783654785e0,-1.550026703e0,2.059716797e-1,9.907820551e0
3.608823754e-1,9.748477936e0,-1.519340515e0,1.972897339e-1,9.868137661e0
3.709033746e-1,9.666897583e0,-1.434916077e0,2.094145203e-1,9.775057415e0
3.809243748e-1,9.558672638e0,-1.327289886e0,2.707868958e-1,9.654182854e0
3.909453750e-1,9.462722168e0,-1.252295837e0,3.704795837e-1,9.552413874e0
4.009663751e-1,9.465715942e0,-1.234931946e0,4.513114929e-1,9.556595486e0
4.109873753e-1,9.511371002e0,-1.244062958e0,4.779560852e-1,9.604286179e0
4.210083755e-1,9.631870422e0,-1.223555603e0,4.620890808e-1,9.720264527e0
4.310293747e-1,9.742191010e0,-1.146914978e0,4.442761230e-1,9.819525493e0
4.410503749e-1,9.794881439e0,-1.061592407e0,4.608915710e-1,9.863016876e0
4.510713750e-1,9.805060272e0,-9.990225220e-1,4.649331665e-1,9.866783457e0
4.610923752e-1,9.795330505e0,-9.837542725e-1,4.213737488e-1,9.853620046e0
4.711133754e-1,9.776769104e0,-9.936337280e-1,3.691323853e-1,9.834062274e0
4.811333753e-1,9.785151672e0,-9.885443115e-1,3.373983765e-1,9.840744422e0
4.911543755e-1,9.812844086e0,-9.837542725e-1,3.129991150e-1,9.866998022e0
5.011753747e-1,9.816436615e0,-9.997709656e-1,2.960842896e-1,9.871658204e0
5.111963749e-1,9.814490662e0,-1.043779449e0,2.610571289e-1,9.873289893e0
5.212173751e-1,9.812993774e0,-1.091979218e0,2.098635864e-1,9.875794052e0
5.312383752e-1,9.809550934e0,-1.131347351e0,1.815724182e-1,9.876244473e0
5.412593754e-1,9.824968872e0,-1.163380737e0,1.582209778e-1,9.894872508e0
5.512805004e-1,9.830657043e0,-1.168320465e0,1.609153748e-1,9.901145609e0
