BioWare 3.0 Export
Device:	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA
Samples (#):	6533	6533	6533	6533
Rate (Hz):	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	6532	6532	6532	6532
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	32.660000	32.660000	32.660000	32.660000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	692.799622	692.799622	692.799622	692.799622
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft
	N	N	N	N
0.000000	-1.587649	1.360515	579.501198	579.504970
0.005000	-1.704250	0.973730	576.932281	576.935620
0.010000	-2.171548	0.624633	574.879177	574.883618
0.015000	-2.054649	0.664384	575.305466	575.309518
0.020000	-1.392619	1.089683	578.557018	578.559721
0.025000	-1.820554	0.819263	576.586933	576.590389
0.030000	-1.430791	1.283900	577.954697	577.957894
0.035000	-1.392321	1.206461	578.725460	578.728392
0.040000	-1.626119	0.858189	577.012142	577.015072
0.045000	-0.886255	1.206461	578.467659	578.469596
0.050000	-1.119457	1.167122	578.810398	578.812657
0.055000	-0.652159	1.516219	580.519596	580.521942
0.060000	-1.041028	1.090921	579.063900	579.065863
0.065000	-0.923831	1.090921	578.550888	578.552654
0.070000	-1.196993	0.858189	577.781811	577.783688
0.075000	-0.923831	0.936042	577.437901	577.439398
0.080000	0.009574	1.594071	581.545841	581.548026
0.085000	-0.262396	1.555557	580.603073	580.605216
0.090000	-0.651861	0.897528	578.292744	578.293808
0.095000	-0.650968	1.129847	578.119919	578.121389
0.100000	-0.690033	0.936042	577.607719	577.608890
0.105000	-0.962599	0.433304	574.954990	574.955959
0.110000	-0.301164	0.936042	577.521904	577.522741
0.115000	-0.261801	1.053232	577.693306	577.694325
0.120000	-0.572836	0.975793	577.008698	577.009807
0.125000	-0.338145	0.936867	577.264053	577.264913
0.130000	-0.611604	0.859840	576.409157	576.410123
0.135000	-0.883872	0.665210	576.324715	576.325776
0.140000	-1.039539	0.472230	574.269772	574.270907
0.145000	-0.727908	0.859840	576.409164	576.410265
0.150000	-1.117373	0.627522	575.641228	575.642654
0.155000	-0.688842	1.013894	577.864231	577.865531
0.160000	-1.467474	0.279250	574.185249	574.187192
0.165000	-1.078307	0.744300	577.008698	577.010185
0.170000	-1.389045	0.395203	574.526951	574.528766
0.175000	-1.000176	0.744300	576.667477	576.668824
0.180000	-1.506540	0.704961	575.897396	575.899798
0.185000	-1.155843	0.821739	576.752666	576.754410
0.190000	-1.935071	0.434129	574.697144	574.700565
0.195000	-1.389939	0.898766	576.839603	576.841978
0.200000	-2.012308	0.357102	573.927841	573.931480
0.205000	-1.623439	0.666448	575.383045	575.385721
0.210000	-1.311212	1.168772	578.122696	578.125364
0.215000	-1.933582	0.821327	575.983212	575.987043
0.220000	-1.505349	0.975793	576.153412	576.156205
0.225000	-1.467474	1.130672	577.181118	577.184091
0.230000	-1.195206	1.247450	579.235294	579.237871
0.235000	-1.701570	0.860253	575.811478	575.814634
0.240000	-1.429004	0.977031	578.209530	578.212121
0.245000	-1.506242	1.054883	577.265259	577.268188
0.250000	-1.233974	1.093396	578.379154	578.381504
0.255000	-1.117373	1.287202	578.892490	578.895000
0.260000	-1.467474	0.861490	577.353001	577.355508
0.265000	-1.078605	1.402742	578.635803	578.638509
0.270000	-1.117373	1.365879	578.292618	578.295310
0.275000	-1.117373	1.210588	578.550663	578.553009
0.280000	-1.273635	1.171249	578.892166	578.894752
0.285000	-1.585267	1.054883	576.323822	576.326968
0.290000	-1.001069	1.364641	579.320461	579.322933
0.295000	-1.273337	1.094635	578.035908	578.038347
0.300000	-1.157332	1.094635	577.950569	577.952765
0.305000	-1.117671	1.093809	577.267323	577.269441
0.310000	-1.000176	1.287202	578.465748	578.468045
0.315000	-1.428409	1.094222	577.182354	577.185159
0.320000	-1.117075	1.210588	577.953079	577.955427
0.325000	-1.662802	0.707437	575.900120	575.902955
0.330000	-1.429600	0.629997	576.155094	576.157212
0.335000	-1.312701	1.017195	577.354622	577.357010
0.340000	-1.389939	0.784463	576.928493	576.930701
0.345000	-1.818172	0.591484	575.300148	575.303325
0.350000	-1.740338	0.398092	575.043892	575.046663
0.355000	-1.506242	0.630410	576.415108	576.417420
0.360000	-1.546499	0.398916	575.730305	575.732520
0.365000	-1.584076	0.591896	576.672424	576.674904
0.370000	-1.701570	0.437017	575.902954	575.905634
0.375000	-1.467474	0.825040	578.556797	578.559246
0.380000	-1.779404	0.476356	575.818859	575.821805
0.385000	-1.701868	0.747188	576.760052	576.763047
0.390000	-1.702463	0.359990	576.759060	576.761685
0.395000	-1.740636	0.669749	577.787994	577.791004
0.400000	-1.040135	1.018020	579.671116	579.672943
0.405000	-1.390832	0.979919	578.986126	578.988626
0.410000	-1.546797	0.786114	578.642979	578.645580
0.415000	-1.546797	0.940993	577.959492	577.962328
0.420000	-1.041326	1.211825	580.440910	580.443109
0.425000	-1.547094	0.747188	578.730247	578.732798
0.430000	-1.196993	1.018020	578.817219	578.819352
