"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.627939800E-2,3.112462163E-2,9.744400978E0,9.672574997E-1
3.233141400E-2,6.224924326E-2,9.770736694E0,9.576807022E-1
4.835291400E-2,-5.267243832E-2,9.880870819E0,9.935936928E-1
6.437441200E-2,-8.858546615E-2,9.876082420E0,1.003170490E0
8.039591200E-2,-9.337386489E-2,9.871294022E0,9.959878922E-1
9.641741000E-2,-1.125274822E-1,9.835380554E0,1.034295082E0
1.123473580E-1,-1.292868853E-1,9.818621635E0,1.039083481E0
1.283688580E-1,-1.819593310E-1,9.806650162E0,9.959878922E-1
1.443903560E-1,-1.125274822E-1,9.852140427E0,1.039083481E0
1.604118560E-1,-7.422025502E-2,9.787496567E0,9.983820915E-1
1.764333550E-1,-7.900865376E-2,9.801861763E0,1.000776291E0
1.924853710E-1,-6.224924326E-2,9.835380554E0,1.043871999E0
2.085068700E-1,-8.619125932E-2,9.832986832E0,1.065419793E0
2.245283690E-1,-1.077390760E-1,9.897629738E0,1.041477680E0
2.405498680E-1,-1.029506698E-1,9.811438560E0,1.024718285E0
2.566018850E-1,-9.816227108E-2,9.768342972E0,1.074996591E0
2.726233830E-1,-5.506663769E-2,9.725247383E0,1.096544385E0
2.886448830E-1,-3.830722719E-2,9.713275909E0,1.101332784E0
3.046663810E-1,6.224924326E-2,9.478644371E0,1.082179189E0
3.206878810E-1,-1.053448766E-1,9.797073364E0,1.067813993E0
3.367398970E-1,-2.944868207E-1,1.024239445E1,8.690952063E-1
3.527613960E-1,-1.580173075E-1,1.017535686E1,1.046266198E0
3.687828950E-1,-3.830722719E-2,9.782708168E0,1.012747288E0
3.848043950E-1,-2.154781483E-2,9.667786598E0,1.029506683E0
4.008258930E-1,-1.915361360E-2,9.694122314E0,1.019929886E0
4.168473930E-1,-8.379705995E-2,9.777919769E0,1.029506683E0
4.328994090E-1,-8.379705995E-2,9.859322548E0,1.019929886E0
4.489209070E-1,-1.915361360E-2,9.844957352E0,1.019929886E0
4.649424070E-1,3.351882473E-2,9.801861763E0,1.046266198E0
4.809639060E-1,4.788403213E-2,9.794678688E0,1.015141487E0
4.969854050E-1,2.633621916E-2,9.789890289E0,9.816226959E-1
5.130069040E-1,-9.576806799E-3,9.878476143E0,9.672574997E-1
5.290284030E-1,-4.548983276E-2,9.849745750E0,1.031900883E0
5.450499020E-1,-9.816227108E-2,9.806650162E0,1.074996591E0
5.610714010E-1,-1.125274822E-1,9.777919769E0,1.041477680E0
5.770929000E-1,-7.661445439E-2,9.809044838E0,1.031900883E0
5.930228480E-1,-3.351882473E-2,9.804255486E0,1.043871999E0
6.090748640E-1,-1.125274822E-1,9.852140427E0,1.053448796E0
6.250963640E-1,-1.532289088E-1,9.787496567E0,1.077390790E0
6.411178620E-1,-1.939303428E-1,9.806650162E0,1.067813993E0
6.571393620E-1,-2.082955539E-1,9.842563629E0,1.074996591E0
6.731608600E-1,-2.082955539E-1,9.842563629E0,1.106121182E0
6.891823600E-1,-1.077390760E-1,9.816226959E0,1.086967587E0
7.052038580E-1,-3.351882473E-2,9.797073364E0,1.079784989E0
7.212253580E-1,-2.873042040E-2,9.825803757E0,9.888052940E-1
7.372468560E-1,-6.943184882E-2,9.809044838E0,1.019929886E0
7.532683560E-1,-1.747767180E-1,9.811438560E0,1.091755986E0
7.693203720E-1,-2.035071403E-1,9.758766174E0,1.103726983E0
7.853418710E-1,-1.987187415E-1,9.744400978E0,1.084573388E0
8.013633700E-1,-1.484405100E-1,9.806650162E0,1.046266198E0
8.173848700E-1,-1.244984865E-1,9.844957352E0,1.024718285E0
8.334368860E-1,-1.197100878E-1,9.892841339E0,1.053448796E0
8.494583850E-1,-6.703764945E-2,9.840168953E0,1.027112484E0
8.654798840E-1,4.788403399E-3,9.830592155E0,1.029506683E0
8.815013830E-1,1.053448766E-1,9.825803757E0,9.959878922E-1
8.975228820E-1,7.900865376E-2,9.847352028E0,1.022324085E0
9.135443810E-1,1.101332754E-1,9.830592155E0,9.768342972E-1
9.295658800E-1,1.819593310E-1,9.821015358E0,1.058237195E0
9.455873790E-1,1.651999205E-1,9.732429504E0,1.091755986E0
9.616088780E-1,6.943184882E-2,9.777919769E0,1.122880578E0
9.776608950E-1,1.197100803E-2,9.768342972E0,1.161187768E0
9.936823930E-1,-1.053448766E-1,9.813833237E0,1.079784989E0
