"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.109225100E-2,-1.359721422E0,9.525827408E0,9.032905698E-1
5.029220200E-2,-1.341177106E0,9.588040352E0,9.463613629E-1
6.695886800E-2,-1.332203984E0,9.631709099E0,1.042074203E0
8.362553400E-2,-1.124626637E0,9.746564865E0,8.763712645E-1
1.002922000E-1,-1.003789067E0,9.894919395E0,7.674978375E-1
1.169588660E-1,-1.197009563E0,9.789037704E0,8.662018180E-1
1.336255320E-1,-1.307079315E0,9.678967476E0,8.560323119E-1
1.502921980E-1,-1.307677627E0,9.683753014E0,9.326026440E-1
1.669588640E-1,-1.230509043E0,9.650852203E0,9.332008362E-1
1.836255300E-1,-1.125224829E0,9.598808289E0,9.864411354E-1
2.002921960E-1,-1.028913736E0,9.617950439E0,9.541380405E-1
2.169588620E-1,-1.071984529E0,9.661021233E0,9.104689956E-1
2.336255280E-1,-1.186840057E0,9.636494637E0,8.428717852E-1
2.502921940E-1,-1.302293777E0,9.745966911E0,8.225327730E-1
2.669588600E-1,-1.192223907E0,9.722636223E0,9.188438654E-1
2.836255260E-1,-1.240678549E0,9.555737495E0,1.014556766E0
3.002921920E-1,-1.187438250E0,9.607781410E0,9.427721500E-1
3.169588580E-1,-1.220339537E0,9.636494637E0,8.662018180E-1
3.336255240E-1,-1.240080357E0,9.784252167E0,8.805587292E-1
3.502921900E-1,-1.240678549E0,9.841679573E0,8.997012973E-1
3.669588560E-1,-1.129412293E0,9.794421196E0,8.620143533E-1
3.836255220E-1,-1.264606714E0,9.655637741E0,1.009172916E0
4.002921880E-1,-1.393819213E0,9.502496719E0,9.936196208E-1
4.169588540E-1,-1.436890006E0,9.411569595E0,9.984052777E-1
4.336255200E-1,-1.557129383E0,9.334999084E0,1.025922656E0
4.502921860E-1,-1.408176184E0,9.430113792E0,9.266205430E-1
4.669588520E-1,-1.063609719E0,9.952347755E0,9.918249846E-1
4.836255180E-1,-8.033902049E-1,1.006720352E1,8.506484628E-1
5.002921840E-1,-1.033101201E0,9.784850121E0,8.153542876E-1
5.169588500E-1,-1.241276741E0,9.617352486E0,1.071386337E0
5.336255160E-1,-1.340578914E0,9.473783493E0,9.367900491E-1
5.502921820E-1,-1.206580877E0,9.689137459E0,9.284151793E-1
5.669588480E-1,-1.225723386E0,9.708279610E0,9.092726111E-1
5.836255140E-1,-1.230509043E0,9.693922997E0,9.140582681E-1
6.002921800E-1,-1.206580877E0,9.708279610E0,9.236295223E-1
6.169588460E-1,-1.225723386E0,9.655637741E0,9.236295223E-1
6.336255120E-1,-1.215553880E0,9.646066666E0,8.805587292E-1
6.502921780E-1,-1.268794179E0,9.674181938E0,8.703892231E-1
6.669588440E-1,-1.273579836E0,9.683753014E0,9.230313301E-1
6.836255100E-1,-1.278365493E0,9.688538551E0,8.895317912E-1
7.002921760E-1,-1.229910851E0,9.664610863E0,8.614161611E-1
7.169588420E-1,-1.259222865E0,9.646066666E0,9.038887620E-1
7.336255080E-1,-1.244866014E0,9.650852203E0,8.901300430E-1
7.502921740E-1,-1.143769264E0,9.674779892E0,9.050851464E-1
7.669588400E-1,-1.119840980E0,9.698708534E0,8.817551732E-1
7.836255060E-1,-1.177268744E0,9.650852203E0,9.098708034E-1
8.002921720E-1,-1.186840057E0,9.655637741E0,9.146564603E-1
8.169588380E-1,-1.182054400E0,9.669994354E0,8.859425783E-1
8.336255040E-1,-1.186840057E0,9.703494072E0,8.859425783E-1
8.502921700E-1,-1.230509043E0,9.698708534E0,8.949156404E-1
8.669588360E-1,-1.244267821E0,9.655637741E0,8.470591903E-1
8.836255020E-1,-1.239482164E0,9.660423279E0,8.614161611E-1
9.002921680E-1,-1.225125194E0,9.689137459E0,8.709874153E-1
9.169588340E-1,-1.249651670E0,9.726823807E0,8.614161611E-1
9.336255000E-1,-1.268195987E0,9.655039787E0,8.231309652E-1
9.502921660E-1,-1.268195987E0,9.659825325E0,8.087740541E-1
9.669588320E-1,-1.215553880E0,9.693324089E0,8.518448472E-1
9.836254980E-1,-1.205982566E0,9.664610863E0,8.374879360E-1
1.000292164E0,-1.229910851E0,9.688538551E0,8.327022791E-1
1.016958830E0,-1.259222865E0,9.645467758E0,8.614161611E-1
1.033625496E0,-1.253839016E0,9.631709099E0,8.279166222E-1
1.050292162E0,-1.272981644E0,9.640682220E0,8.279166222E-1
1.066958828E0,-1.287338614E0,9.688538551E0,7.986045480E-1
1.083625494E0,-1.282552958E0,9.717252731E0,7.944171429E-1
1.100292160E0,-1.282552958E0,9.669396400E0,8.177471161E-1
1.116958826E0,-1.249053478E0,9.674181938E0,8.183453679E-1
1.133625492E0,-1.253839016E0,9.650253296E0,8.374879360E-1
1.150292158E0,-1.302293777E0,9.621540070E0,8.608179688E-1
1.166958824E0,-1.229312658E0,9.678967476E0,7.561319470E-1
1.183625490E0,-1.238883972E0,9.678967476E0,7.800601721E-1
1.200292156E0,-1.258624673E0,9.669396400E0,7.848458290E-1
1.216958822E0,-1.277767301E0,9.678967476E0,7.800601721E-1
1.233625488E0,-1.311864972E0,9.664610863E0,8.416753411E-1
1.250292154E0,-1.272981644E0,9.645467758E0,7.800601721E-1
1.266958820E0,-1.287338614E0,9.659825325E0,7.794619799E-1
1.283625486E0,-1.292124271E0,9.712467194E0,7.746763229E-1
1.300292152E0,-1.296909928E0,9.707681656E0,7.603194118E-1
1.316958818E0,-1.306481123E0,9.716654778E0,7.555337548E-1
1.333625484E0,-1.253240824E0,9.702896118E0,7.609176040E-1
1.350292150E0,-1.225125194E0,9.665208817E0,8.566305041E-1
1.366958816E0,-1.210768223E0,9.626923561E0,8.949156404E-1
1.383625482E0,-1.176670551E0,9.641280174E0,8.333004713E-1
1.400292148E0,-1.191625714E0,9.674779892E0,8.763712645E-1
1.416958814E0,-1.220937729E0,9.698708534E0,8.901300430E-1
1.433625480E0,-1.158724308E0,9.741779327E0,9.242277741E-1
1.450292146E0,-1.115055323E0,9.732208252E0,9.296116233E-1
1.466958812E0,-1.115653515E0,9.694520950E0,9.864411354E-1
1.483625478E0,-1.092323542E0,9.670592308E0,1.086939692E0
1.500292144E0,-1.043868899E0,9.670592308E0,1.030110121E0
1.516958810E0,-9.236295223E-1,9.757332802E0,1.002592683E0
1.533625476E0,-9.427721500E-1,9.790832520E0,1.021735311E0
1.550292142E0,-9.912267923E-1,9.704689980E0,1.064207911E0
1.566958808E0,-1.015154958E0,9.656833649E0,1.102493048E0
1.583625474E0,-1.048654556E0,9.652048111E0,1.049252748E0
1.600292140E0,-1.067198873E0,9.689735413E0,9.918249846E-1
1.616958806E0,-1.071984529E0,9.713663101E0,9.439685345E-1
1.633625472E0,-1.110269666E0,9.723235130E0,9.391828775E-1
1.650292138E0,-1.115055323E0,9.698708534E0,9.008977413E-1
1.666958804E0,-1.071386337E0,9.698708534E0,8.578268886E-1
1.683625470E0,-1.071386337E0,9.665806770E0,8.865407705E-1
1.700292136E0,-1.080957651E0,9.641280174E0,8.434699774E-1
1.716958802E0,-1.162313581E0,9.660423279E0,8.189435601E-1
1.733625468E0,-1.224527001E0,9.664610863E0,7.800601721E-1
1.750292134E0,-1.272383451E0,9.688538551E0,7.130611539E-1
1.766958800E0,-1.368694544E0,9.654440880E0,7.405785918E-1
1.783625466E0,-1.425524116E0,9.597013474E0,6.400800347E-1
1.800292132E0,-1.396810174E0,9.654440880E0,6.592226624E-1
1.816958798E0,-1.406381488E0,9.654440880E0,6.544370055E-1
1.833625464E0,-1.387837172E0,9.668798447E0,6.879364848E-1
1.850292130E0,-1.387837172E0,9.668798447E0,7.405785918E-1
1.866958796E0,-1.358525038E0,9.630513191E0,7.076773047E-1
1.883625462E0,-1.335195065E0,9.664610863E0,7.459624410E-1
1.900292128E0,-1.301097274E0,9.764511108E0,6.933203340E-1
1.916958794E0,-1.287338614E0,9.783653259E0,7.082754970E-1
1.933625460E0,-1.354337573E0,9.745368004E0,7.076773047E-1
1.950292126E0,-1.422533035E0,9.836296082E0,7.830511928E-1
1.966958792E0,-1.427916884E0,9.702896118E0,9.218349457E-1
1.983625458E0,-1.436890006E0,9.492327690E0,9.361918569E-1
2.000292124E0,-1.354935765E0,9.454640388E0,9.463613629E-1
2.016958790E0,-1.066002488E0,9.488738060E0,8.769695163E-1
2.033625456E0,-1.003789067E0,9.488738060E0,8.967102766E-1
2.050292122E0,-9.798609018E-1,9.713663101E0,8.542376757E-1
2.066958788E0,-9.224331379E-1,9.870991707E0,8.303094506E-1
2.083625454E0,-9.852447510E-1,9.875777245E0,8.398807645E-1
2.100292120E0,-1.207179070E0,9.836894035E0,9.236295223E-1
2.116958786E0,-1.412961721E0,9.655039787E0,9.026923180E-1
2.133625452E0,-1.393819213E0,9.568898201E0,9.272187948E-1
2.150292118E0,-1.336391449E0,9.607781410E0,9.702895880E-1
2.166958784E0,-1.197009563E0,9.631709099E0,9.523434043E-1
2.183625450E0,-1.168295622E0,9.646066666E0,9.481559992E-1
2.200292116E0,-1.216750264E0,9.708279610E0,9.858429432E-1
2.216958782E0,-1.345962763E0,9.722038269E0,9.032905698E-1
2.233625448E0,-1.360319614E0,9.650852203E0,9.607182741E-1
2.250292114E0,-1.273579836E0,9.602995872E0,9.517452121E-1
2.266958780E0,-1.211366415E0,9.608379364E0,9.858429432E-1
2.283625446E0,-1.125224829E0,9.608379364E0,1.043868899E0
2.300292112E0,-1.033699393E0,9.651450157E0,1.001994491E0
2.316958778E0,-1.048056364E0,9.728020668E0,9.822536707E-1
2.333625444E0,-1.101296663E0,9.713663101E0,9.966106415E-1
2.350292110E0,-1.119840980E0,9.717850685E0,9.337990284E-1
2.366958776E0,-1.168295622E0,9.679565430E0,9.290133715E-1
2.383625442E0,-1.168295622E0,9.722636223E0,9.337990284E-1
2.400292108E0,-1.182652593E0,9.665208817E0,9.625129104E-1
2.416958774E0,-1.076770186E0,9.656235695E0,9.200403094E-1
2.433625440E0,-9.708877802E-1,9.713663101E0,9.547362328E-1
2.450292106E0,-9.906286001E-1,9.680762291E0,9.780662656E-1
2.466958772E0,-1.057627559E0,9.651450157E0,9.678967595E-1
2.483625438E0,-1.095314622E0,9.637093544E0,8.817551732E-1
2.500292104E0,-1.085743308E0,9.680164337E0,8.865407705E-1
2.516958770E0,-1.066600680E0,9.689735413E0,8.769695163E-1
2.533625436E0,-1.080957651E0,9.722636223E0,8.769695163E-1
2.550292102E0,-1.086341500E0,9.756135941E0,9.056833982E-1
2.566958768E0,-1.100698471E0,9.736993790E0,9.104689956E-1
2.583625434E0,-1.043868899E0,9.699306488E0,1.020538807E0
2.600292100E0,-1.004387259E0,9.665806770E0,9.397810698E-1
2.616958766E0,-1.043270707E0,9.651450157E0,9.445667267E-1
2.633625432E0,-1.139581800E0,9.684949875E0,9.912267923E-1
2.650292098E0,-1.134197950E0,9.708279610E0,8.811569214E-1
2.666958764E0,-1.115055323E0,9.751350403E0,8.578268886E-1
2.683625430E0,-1.119840980E0,9.732208252E0,9.002995491E-1
2.700292096E0,-1.095912814E0,9.661021233E0,9.200403094E-1
2.716958762E0,-1.071984529E0,9.613164902E0,9.296116233E-1
2.733625428E0,-1.043270707E0,9.632308006E0,9.870393276E-1
2.750292094E0,-1.053440213E0,9.670592308E0,1.001396298E0
2.766958760E0,-1.043270707E0,9.708877563E0,9.631111026E-1
2.783625426E0,-1.071984529E0,9.732208252E0,9.200403094E-1
2.800292092E0,-1.091127157E0,9.728020668E0,9.296116233E-1
2.816958758E0,-1.110269666E0,9.689735413E0,9.296116233E-1
2.833625424E0,-1.091127157E0,9.684949875E0,9.631111026E-1
