"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.919006100E-2,8.015955687E-1,9.647860527E0,-7.178468108E-1,9.707681095E0
2.172313400E-2,8.087740541E-1,9.643074989E0,-6.819544435E-1,9.700931532E0
2.425620700E-2,8.183453679E-1,9.643074989E0,-6.460621357E-1,9.699277327E0
2.678844700E-2,8.231309652E-1,9.657432556E0,-6.293123364E-1,9.712856541E0
2.932068600E-2,8.207381964E-1,9.667003632E0,-6.197410822E-1,9.721555915E0
3.185381100E-2,8.135597110E-1,9.681360245E0,-6.029912829E-1,9.734177627E0
3.438688400E-2,7.968099117E-1,9.700503349E0,-5.934200287E-1,9.751247028E0
3.691912400E-2,7.848458290E-1,9.712467194E0,-5.958128572E-1,9.762325283E0
3.945141500E-2,7.824530005E-1,9.710074425E0,-6.221339107E-1,9.761394810E0
4.198454000E-2,7.824530005E-1,9.695717812E0,-6.508477330E-1,9.748988632E0
4.451761300E-2,7.896314859E-1,9.686145782E0,-6.556333899E-1,9.740369251E0
4.704985300E-2,8.039883971E-1,9.688538551E0,-6.508477330E-1,9.743601971E0
4.958209200E-2,8.111668825E-1,9.690931320E0,-6.484549642E-1,9.746416542E0
5.211521700E-2,8.111668825E-1,9.688538551E0,-6.532405615E-1,9.744357044E0
5.464829000E-2,8.135597110E-1,9.681360245E0,-6.556333899E-1,9.737580333E0
5.718053000E-2,8.087740541E-1,9.676574707E0,-6.771687865E-1,9.733898042E0
5.971276900E-2,8.015955687E-1,9.678967476E0,-7.202396393E-1,9.738773639E0
6.224589400E-2,7.920243144E-1,9.669396400E0,-7.322037220E-1,9.729370563E0
6.477896700E-2,7.800601721E-1,9.671789169E0,-7.226324677E-1,9.730066664E0
6.731120700E-2,7.489534616E-1,9.674181938E0,-6.987041831E-1,9.728253440E0
6.984349900E-2,7.130611539E-1,9.676574707E0,-6.580262184E-1,9.725099114E0
7.237662400E-2,6.867401004E-1,9.676574707E0,-6.532405615E-1,9.722881942E0
7.490969700E-2,6.675975323E-1,9.674181938E0,-6.652047038E-1,9.719978392E0
7.744193600E-2,6.628118753E-1,9.667003632E0,-6.819544435E-1,9.713667724E0
7.997417600E-2,6.604190469E-1,9.664610863E0,-7.034898400E-1,9.712659492E0
8.250730100E-2,6.652047038E-1,9.676574707E0,-7.010970116E-1,9.724717599E0
8.504037400E-2,6.604190469E-1,9.678967476E0,-6.795616150E-1,9.725243889E0
8.757261300E-2,6.508477330E-1,9.678967476E0,-6.628118753E-1,9.723442485E0
9.010485300E-2,6.508477330E-1,9.683753014E0,-6.699903607E-1,9.728697872E0
9.263797800E-2,6.604190469E-1,9.674181938E0,-6.891329288E-1,9.721154956E0
9.517105100E-2,6.747759581E-1,9.650253296E0,-6.891329288E-1,9.698330550E0
9.770329000E-2,6.867401004E-1,9.643074989E0,-6.747759581E-1,9.691017997E0
1.002355820E-1,7.178468108E-1,9.640682220E0,-6.364908218E-1,9.688301104E0
1.027687070E-1,7.585247755E-1,9.645467758E0,-6.340979934E-1,9.696003732E0
1.053017800E-1,7.872386575E-1,9.664610863E0,-6.652047038E-1,9.719410740E0
1.078340190E-1,8.183453679E-1,9.655039787E0,-7.010970116E-1,9.714989421E0
1.103662590E-1,8.446664214E-1,9.640682220E0,-7.441678643E-1,9.706183640E0
1.128993840E-1,8.709874153E-1,9.647860527E0,-7.728816867E-1,9.717879292E0
1.154324570E-1,8.901300430E-1,9.647860527E0,-7.872386575E-1,9.720765862E0
1.179646970E-1,8.997012973E-1,9.635896683E0,-7.848458290E-1,9.709580335E0
1.204969360E-1,9.068797827E-1,9.645467758E0,-7.872386575E-1,9.719939502E0
1.230300610E-1,9.044869542E-1,9.655039787E0,-7.992027402E-1,9.730190901E0
1.255631340E-1,8.901300430E-1,9.664610863E0,-7.968099117E-1,9.738169266E0
1.280953740E-1,8.662018180E-1,9.669396400E0,-7.752745152E-1,9.739023715E0
1.306276130E-1,8.255237937E-1,9.655039787E0,-7.752745152E-1,9.721231064E0
1.331607380E-1,7.896314859E-1,9.662218094E0,-7.944171429E-1,9.726925258E0
1.356938630E-1,7.345965505E-1,9.667003632E0,-8.015955687E-1,9.727956967E0
1.382260510E-1,6.628118753E-1,9.671789169E0,-8.135597110E-1,9.728551008E0
1.407583420E-1,6.149554253E-1,9.686145782E0,-8.207381964E-1,9.740287546E0
1.432914670E-1,5.790630579E-1,9.686145782E0,-7.968099117E-1,9.736099844E0
1.458245400E-1,5.288137794E-1,9.678967476E0,-7.513462901E-1,9.722477907E0
1.483567800E-1,4.857429862E-1,9.669396400E0,-6.963114142E-1,9.706596859E0
1.508890190E-1,4.618147612E-1,9.671789169E0,-6.532405615E-1,9.704818486E0
1.534221440E-1,4.307080805E-1,9.664610863E0,-6.364908218E-1,9.695119037E0
1.559552170E-1,3.996013701E-1,9.643074989E0,-6.460621357E-1,9.672950573E0
1.584874570E-1,3.756731451E-1,9.650253296E0,-6.652047038E-1,9.680445046E0
1.610196970E-1,3.493520916E-1,9.667003632E0,-6.795616150E-1,9.697154742E0
1.635528220E-1,3.421736360E-1,9.662218094E0,-6.795616150E-1,9.692128006E0
1.660859470E-1,3.469592929E-1,9.662218094E0,-6.675975323E-1,9.691466644E0
1.686181340E-1,3.469592929E-1,9.674181938E0,-6.699903607E-1,9.703559347E0
1.711504260E-1,3.469592929E-1,9.688538551E0,-6.628118753E-1,9.717380285E0
1.736835510E-1,3.613162339E-1,9.686145782E0,-6.340979934E-1,9.713601279E0
1.762166240E-1,3.732803464E-1,9.681360245E0,-6.173482537E-1,9.708202371E0
1.787488630E-1,3.661018610E-1,9.690931320E0,-6.221339107E-1,9.717779120E0
1.812811030E-1,3.517449200E-1,9.686145782E0,-6.508477330E-1,9.714357796E0
1.838142280E-1,3.565305769E-1,9.683753014E0,-6.771687865E-1,9.713945854E0
1.863473010E-1,3.493520916E-1,9.683753014E0,-6.723831892E-1,9.713352586E0
1.888795400E-1,3.158525825E-1,9.681360245E0,-6.628118753E-1,9.709161582E0
1.914117800E-1,3.014956415E-1,9.688538551E0,-6.484549642E-1,9.714894375E0
1.939449050E-1,2.847459018E-1,9.707681656E0,-6.221339107E-1,9.731763148E0
1.964779780E-1,2.632105052E-1,9.705288887E0,-6.005984545E-1,9.727416443E0
1.990102170E-1,2.560320199E-1,9.705288887E0,-5.742774606E-1,9.725635166E0
2.015424570E-1,2.608176768E-1,9.719645500E0,-5.527420044E-1,9.738842756E0
2.040755820E-1,2.632105052E-1,9.707681656E0,-5.431707501E-1,9.726427780E0
2.066087070E-1,2.632105052E-1,9.702896118E0,-5.479564071E-1,9.721920030E0
2.091409470E-1,2.775674164E-1,9.705288887E0,-5.527420044E-1,9.724978137E0
2.116731860E-1,2.895315289E-1,9.698110580E0,-5.575276613E-1,9.718436831E0
2.142063110E-1,2.895315289E-1,9.695717812E0,-5.718846321E-1,9.716883473E0
2.167393840E-1,3.014956415E-1,9.690931320E0,-5.862415433E-1,9.713327371E0
2.192716240E-1,3.158525825E-1,9.698110580E0,-6.125625968E-1,9.722568828E0
2.218038630E-1,3.254238665E-1,9.712467194E0,-6.364908218E-1,9.738739151E0
2.243369880E-1,3.278166950E-1,9.714859962E0,-6.556333899E-1,9.742475200E0
2.268700610E-1,3.206382394E-1,9.729216576E0,-6.867401004E-1,9.758692332E0
2.294023010E-1,3.206382394E-1,9.736394882E0,-7.034898400E-1,9.767041115E0
2.319345920E-1,3.134597540E-1,9.726823807E0,-7.010970116E-1,9.757094619E0
2.344677170E-1,3.038884699E-1,9.722038269E0,-7.130611539E-1,9.752888419E0
2.370007900E-1,2.919243574E-1,9.712467194E0,-7.345965505E-1,9.744581618E0
2.395329780E-1,2.895315289E-1,9.717252731E0,-7.561319470E-1,9.750926349E0
2.420652690E-1,3.086741269E-1,9.717252731E0,-7.776673436E-1,9.753207004E0
2.445983940E-1,3.278166950E-1,9.714859962E0,-7.824530005E-1,9.751830627E0
2.471314670E-1,3.469592929E-1,9.726823807E0,-7.752745152E-1,9.763838010E0
2.496637070E-1,3.708875179E-1,9.734002113E0,-7.657032609E-1,9.771113354E0
2.521959470E-1,3.876372576E-1,9.738788605E0,-7.513462901E-1,9.775417504E0
2.547290720E-1,3.876372576E-1,9.743574142E0,-7.298108935E-1,9.778554272E0
2.572621440E-1,3.852444589E-1,9.738788605E0,-7.226324677E-1,9.773157855E0
2.597943840E-1,3.828516304E-1,9.729216576E0,-7.274180651E-1,9.763880765E0
2.623266240E-1,3.828516304E-1,9.719645500E0,-7.345965505E-1,9.754881655E0
2.648597490E-1,3.948157430E-1,9.705288887E0,-7.489534616E-1,9.742147768E0
2.673928740E-1,4.019941986E-1,9.688538551E0,-7.561319470E-1,9.726310406E0
2.699250610E-1,4.043870270E-1,9.683753014E0,-7.633104324E-1,9.722203665E0
2.724573530E-1,4.091726840E-1,9.669396400E0,-7.752745152E-1,9.709052457E0
2.749904780E-1,4.163511395E-1,9.650253296E0,-7.992027402E-1,9.692237201E0
2.775235510E-1,4.283152521E-1,9.645467758E0,-8.255237937E-1,9.690200811E0
2.800557900E-1,4.331009090E-1,9.650253296E0,-8.446664214E-1,9.696825586E0
2.825880300E-1,4.235295951E-1,9.652647018E0,-8.494520187E-1,9.699203086E0
2.851211550E-1,4.187439680E-1,9.652647018E0,-8.542376757E-1,9.699415600E0
2.876542280E-1,4.187439680E-1,9.659825325E0,-8.518448472E-1,9.706349029E0
2.901864670E-1,4.259224236E-1,9.669396400E0,-8.231309652E-1,9.713710993E0
2.927187070E-1,4.091726840E-1,9.671789169E0,-8.087740541E-1,9.714167154E0
2.952518320E-1,3.828516304E-1,9.674181938E0,-7.944171429E-1,9.714292056E0
2.977849050E-1,3.804588020E-1,9.683753014E0,-7.657032609E-1,9.721425966E0
3.003171440E-1,3.637090325E-1,9.688538551E0,-7.537391186E-1,9.724617534E0
3.028494360E-1,3.565305769E-1,9.681360245E0,-7.537391186E-1,9.717199849E0
3.053825610E-1,3.613162339E-1,9.683753014E0,-7.633104324E-1,9.720507428E0
3.079156340E-1,3.541377485E-1,9.693324089E0,-7.920243144E-1,9.732073158E0
3.104478740E-1,3.517449200E-1,9.683753014E0,-8.159525394E-1,9.724431884E0
3.129801130E-1,3.397808075E-1,9.678967476E0,-8.183453679E-1,9.719441936E0
3.155132380E-1,3.278166950E-1,9.686145782E0,-8.183453679E-1,9.726179777E0
3.180463110E-1,3.254238665E-1,9.693324089E0,-8.207381964E-1,9.733449737E0
3.205785510E-1,3.230310678E-1,9.693324089E0,-8.111668825E-1,9.732567630E0
3.231107900E-1,3.278166950E-1,9.688538551E0,-7.944171429E-1,9.726579134E0
3.256439150E-1,3.278166950E-1,9.686145782E0,-7.968099117E-1,9.724391495E0
3.281769880E-1,3.517449200E-1,9.693324089E0,-8.015955687E-1,9.732769998E0
3.307092280E-1,3.828516304E-1,9.686145782E0,-8.159525394E-1,9.727989208E0
3.332415190E-1,3.948157430E-1,9.676574707E0,-8.566305041E-1,9.722437624E0
3.357746440E-1,4.163511395E-1,9.676574707E0,-9.068797827E-1,9.727891718E0
3.383077170E-1,4.378865361E-1,9.667003632E0,-9.451649189E-1,9.722964597E0
3.408399570E-1,4.546363056E-1,9.662218094E0,-9.667003751E-1,9.721093677E0
3.433721970E-1,4.546363056E-1,9.671789169E0,-9.786644578E-1,9.731802712E0
3.459053220E-1,4.570291340E-1,9.669396400E0,-9.858429432E-1,9.730261491E0
3.484383940E-1,4.689932466E-1,9.669396400E0,-9.786644578E-1,9.730106142E0
3.509706340E-1,4.618147612E-1,9.674181938E0,-9.690931439E-1,9.733561043E0
3.535028740E-1,4.522434771E-1,9.662218094E0,-9.667003751E-1,9.720982063E0
3.560359990E-1,4.498506486E-1,9.647860527E0,-9.810572863E-1,9.708040572E0
3.585690720E-1,4.354937077E-1,9.647860527E0,-1.000199914E0,9.709339184E0
3.611013110E-1,4.163511395E-1,9.657432556E0,-9.906286001E-1,9.717031279E0
3.636335510E-1,4.067798555E-1,9.664610863E0,-9.499505758E-1,9.719700565E0
3.661666760E-1,3.900300860E-1,9.662218094E0,-9.068797827E-1,9.712518360E0
3.686998010E-1,3.900300860E-1,9.655039787E0,-8.733802438E-1,9.702304356E0
3.712319880E-1,4.139583111E-1,9.650253296E0,-8.446664214E-1,9.695989456E0
3.737642800E-1,4.019941986E-1,9.657432556E0,-8.255237937E-1,9.700984097E0
3.762974050E-1,4.043870270E-1,9.650253296E0,-8.159525394E-1,9.693126229E0
3.788304780E-1,4.091726840E-1,9.645467758E0,-8.159525394E-1,9.688562799E0
3.813627170E-1,3.924229145E-1,9.659825325E0,-8.279166222E-1,9.703178190E0
3.838949570E-1,4.019941986E-1,9.667003632E0,-8.350951076E-1,9.711330619E0
3.864280820E-1,4.187439680E-1,9.669396400E0,-8.494520187E-1,9.715664774E0
3.889611550E-1,4.307080805E-1,9.678967476E0,-8.757730722E-1,9.728047046E0
3.914933940E-1,4.498506486E-1,9.674181938E0,-8.781659007E-1,9.724368212E0
3.940256340E-1,4.618147612E-1,9.681360245E0,-8.662018180E-1,9.730997619E0
