"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.268735100E-2,-3.351898193E-1,8.049301147E0,-2.173934937E0,8.344434929E0
2.985898200E-2,-2.585754395E-1,7.934387207E0,-8.714904785E-1,7.986291834E0
3.486386500E-2,-2.968750000E-1,7.958328247E0,2.154846191E-1,7.966778325E0
4.002133600E-2,-4.261627197E-1,8.140289307E0,1.216247559E0,8.241673543E0
4.499570100E-2,-6.033325195E-1,8.384490967E0,2.063796997E0,8.655804812E0
5.000058400E-2,-8.666992188E-1,8.657440186E0,2.681503296E0,9.104553697E0
5.497494900E-2,-1.221038818E0,8.901641846E0,3.083724976E0,9.499448567E0
5.997983200E-2,-1.642425537E0,9.112335205E0,3.313568115E0,9.834223314E0
6.501523200E-2,-2.116470337E0,9.308654785E0,3.270477295E0,1.009091286E1
7.002011500E-2,-2.580947876E0,9.461883545E0,3.011901855E0,1.025963376E1
7.502499800E-2,-3.011901855E0,9.567230225E0,2.504333496E0,1.033804301E1
8.006039800E-2,-3.418914795E0,9.639053345E0,1.867477417E0,1.039652825E1
8.506528100E-2,-3.835510254E0,9.677368164E0,1.206680298E0,1.047944039E1
9.010068100E-2,-4.256896973E0,9.715667725E0,5.650329590E-1,1.062236478E1
9.510556400E-2,-4.673477173E0,9.730041504E0,3.831481934E-2,1.079428388E1
1.001409650E-1,-4.951202393E0,9.744400024E0,-4.501037598E-1,1.093939351E1
1.051458470E-1,-5.080490112E0,9.734817505E0,-7.805023193E-1,1.100850741E1
1.101812480E-1,-5.080490112E0,9.677368164E0,-1.043869019E0,1.097964011E1
1.152166480E-1,-4.845870972E0,9.552871704E0,-1.221038818E0,1.078103701E1
1.202215310E-1,-4.386184692E0,9.375701904E0,-1.187530518E0,1.041885939E1
1.252569310E-1,-3.778045654E0,9.126693726E0,-1.072601318E0,9.935826131E0
1.302923320E-1,-3.165130615E0,8.820236206E0,-8.666992188E-1,9.410939702E0
1.352972150E-1,-2.542648315E0,8.504211426E0,-5.410919189E-1,8.892662869E0
1.403326150E-1,-2.006347656E0,8.154647827E0,-1.867523193E-1,8.399915984E0
1.453680150E-1,-1.374267578E0,7.848190308E0,3.016662598E-1,7.973312048E0
1.503728980E-1,-8.140258789E-1,7.575256348E0,6.512298584E-1,7.646649410E0
1.554082990E-1,-4.165954590E-1,7.345413208E0,9.097900391E-1,7.413256025E0
1.604436990E-1,2.394104004E-2,7.177810669E0,1.115692139E0,7.264042134E0
1.654790990E-1,4.548950195E-1,7.024581909E0,1.211471558E0,7.142782638E0
1.704839820E-1,7.852935791E-1,6.971908569E0,1.350326538E0,7.144758699E0
1.755193830E-1,1.086975098E0,7.038955688E0,1.546661377E0,7.288386204E0
1.805547830E-1,1.278503418E0,7.139511108E0,1.613693237E0,7.430423657E0
1.855596660E-1,1.388641357E0,7.264007568E0,1.699890137E0,7.588396224E0
1.905950660E-1,1.498764038E0,7.445968628E0,1.800445557E0,7.805789304E0
1.956304670E-1,1.517929077E0,7.642288208E0,1.877059937E0,8.014488863E0
2.006658670E-1,1.546661377E0,7.814682007E0,1.862686157E0,8.181137818E0
2.056707500E-1,1.680725098E0,8.001419067E0,1.857894897E0,8.384468820E0
2.107061500E-1,1.733398438E0,8.111557007E0,1.857894897E0,8.500223566E0
2.157415510E-1,1.833953857E0,8.188171387E0,1.857894897E0,8.594260344E0
2.207769510E-1,1.920150757E0,8.236053467E0,1.901000977E0,8.667950182E0
2.257818340E-1,1.996765137E0,8.236053467E0,1.810012817E0,8.665782949E0
2.308172340E-1,2.054229736E0,8.207321167E0,1.690307617E0,8.627694964E0
