"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.455572800E-2,-2.442016602E-1,1.278982544E1,-4.965576172E0,1.372210683E1
3.178839400E-2,-4.548950195E-1,1.268927002E1,-5.152328491E0,1.370295559E1
3.679327700E-2,-6.703796387E-1,1.241633606E1,-5.090072632E0,1.343590895E1
4.195074800E-2,-8.666992188E-1,1.207156372E1,-4.778823853E0,1.301195510E1
4.692511300E-2,-1.053451538E0,1.166934204E1,-4.309570312E0,1.248421804E1
5.189947800E-2,-1.230621338E0,1.125274658E1,-3.720596313E0,1.191560202E1
5.690436100E-2,-1.340759277E0,1.080264282E1,-3.088516235E0,1.131519597E1
6.190924400E-2,-1.431732178E0,1.040040588E1,-2.470809937E0,1.078532342E1
6.691412700E-2,-1.436523438E0,1.002212524E1,-1.881835938E0,1.029795613E1
7.194952700E-2,-1.470046997E0,9.691726685E0,-1.398208618E0,9.901797395E0
7.695441000E-2,-1.412582397E0,9.414001465E0,-9.911956787E-1,9.570855839E0
8.195929300E-2,-1.316818237E0,9.169799805E0,-6.607971191E-1,9.287404996E0
8.699469300E-2,-1.177947998E0,8.968673706E0,-4.548950195E-1,9.057129734E0
9.199957600E-2,-1.063018799E0,8.805877686E0,-3.064575195E-1,8.875100393E0
9.703497600E-2,-8.858489990E-1,8.633499146E0,-2.298431396E-1,8.681869834E0
1.020398590E-1,-6.943206787E-1,8.470687866E0,-2.011108398E-1,8.501475149E0
1.070752600E-1,-4.980010986E-1,8.312667847E0,-1.915435791E-1,8.329774353E0
1.120801420E-1,-3.256072998E-1,8.149856567E0,-2.011108398E-1,8.158837402E0
1.171155430E-1,-1.532287598E-1,8.001419067E0,-1.867523193E-1,8.005064808E0
1.221509430E-1,2.394104004E-2,7.857772827E0,-1.628112793E-1,7.859495816E0
1.271558260E-1,2.106933594E-1,7.733276367E0,-1.532287598E-1,7.737663350E0
1.321912260E-1,3.495483398E-1,7.632720947E0,-1.053466797E-1,7.641446920E0
1.372266270E-1,4.884185791E-1,7.565673828E0,-1.005554199E-1,7.582089723E0
1.422315100E-1,5.746154785E-1,7.532165527E0,-7.661437988E-2,7.554440432E0
1.472669100E-1,6.464385986E-1,7.536941528E0,-9.576416016E-2,7.565219180E0
1.523023100E-1,7.134704590E-1,7.584823608E0,-1.484375000E-1,7.619752159E0
1.573377110E-1,7.757263184E-1,7.661453247E0,-2.298431396E-1,7.704053806E0
1.623425930E-1,8.236083984E-1,7.781158447E0,-3.447723389E-1,7.832217154E0
1.673779940E-1,8.523406982E-1,7.924804688E0,-4.884185791E-1,7.985459706E0
1.724133940E-1,8.427581787E-1,8.087615967E0,-6.368560791E-1,8.156307929E0
1.774182770E-1,8.619079590E-1,8.288726807E0,-8.236083984E-1,8.374019835E0
1.824536770E-1,8.379669189E-1,8.504211426E0,-9.959869385E-1,8.603243023E0
1.874890780E-1,8.571166992E-1,8.743621826E0,-1.163589478E0,8.862252092E0
1.925244780E-1,8.427581787E-1,9.006988525E0,-1.331176758E0,9.143747328E0
1.975293610E-1,8.188171387E-1,9.279922485E0,-1.489196777E0,9.434253011E0
2.025647610E-1,8.092346191E-1,9.538497925E0,-1.632843018E0,9.711023615E0
2.076001620E-1,7.469940186E-1,9.768341064E0,-1.757339478E0,9.953227077E0
2.126050450E-1,7.038879395E-1,9.964660645E0,-1.853118896E0,1.015991977E1
2.176404450E-1,6.703796387E-1,1.009873962E1,-1.924942017E0,1.030239548E1
2.226758450E-1,6.081237793E-1,1.018493652E1,-1.924942017E0,1.038307027E1
2.277112460E-1,5.171508789E-1,1.021846008E1,-1.886627197E0,1.040402488E1
2.327161290E-1,5.171508789E-1,1.020408630E1,-1.829162598E0,1.037962707E1
2.377515290E-1,4.932098389E-1,1.014662170E1,-1.733398438E0,1.030542857E1
2.427869290E-1,4.596862793E-1,1.003170776E1,-1.594543457E0,1.016804017E1
2.478223300E-1,4.453277588E-1,9.892837524E0,-1.422149658E0,1.000445205E1
2.528272130E-1,4.118041992E-1,9.753982544E0,-1.225830078E0,9.839330137E0
2.578626130E-1,3.734893799E-1,9.595962524E0,-9.959869385E-1,9.654738788E0
2.628980130E-1,3.064575195E-1,9.428359985E0,-7.374114990E-1,9.462117308E0
2.679334140E-1,2.489929199E-1,9.265563965E0,-4.788360596E-1,9.281269150E0
2.729382970E-1,1.771697998E-1,9.112335205E0,-2.537841797E-1,9.117590056E0
2.779736970E-1,1.197052002E-1,8.983047485E0,-4.309082031E-2,8.983948368E0
2.830090970E-1,5.746459961E-2,8.877700806E0,1.101379395E-1,8.878569938E0
2.880139800E-1,-4.791259766E-3,8.815444946E0,2.298431396E-1,8.818442063E0
2.930493810E-1,1.914978027E-2,8.772354126E0,3.016662598E-1,8.777560376E0
2.980847810E-1,4.791259766E-3,8.753204346E0,3.208160400E-1,8.759082840E0
3.031201810E-1,-3.352355957E-2,8.753204346E0,3.447723389E-1,8.760055828E0
3.081250640E-1,-1.435852051E-2,8.767562866E0,3.112487793E-1,8.773097548E0
3.131604650E-1,-1.914978027E-2,8.810668945E0,2.537841797E-1,8.814344013E0
3.181958650E-1,1.435852051E-2,8.868118286E0,2.059020996E-1,8.870519927E0
3.232007480E-1,2.394104004E-2,8.930374146E0,1.244964600E-1,8.931273981E0
3.282361480E-1,6.703186035E-2,9.002197266E0,9.576416016E-2,9.002956162E0
3.332715490E-1,1.197052002E-1,9.078811646E0,4.788208008E-2,9.079727029E0
3.383069490E-1,1.292877197E-1,9.160217285E0,-1.914978027E-2,9.161149641E0
3.433118320E-1,2.059020996E-1,9.275131226E0,-6.703186035E-2,9.277658551E0
3.483472320E-1,3.303985596E-1,9.399642944E0,-1.771697998E-1,9.407116446E0
3.533826330E-1,4.405364990E-1,9.543289185E0,-2.777252197E-1,9.557487754E0
3.584180330E-1,5.554504395E-1,9.691726685E0,-3.974304199E-1,9.715762567E0
3.634229160E-1,6.751708984E-1,9.868896484E0,-5.602416992E-1,9.907817334E0
3.684583160E-1,7.134704590E-1,1.004127502E1,-7.517852783E-1,1.009462358E1
3.734937170E-1,7.900848389E-1,1.020408630E1,-9.193725586E-1,1.027583852E1
3.784985990E-1,7.900848389E-1,1.037168884E1,-1.101333618E0,1.045988046E1
3.835340000E-1,7.852935791E-1,1.048181152E1,-1.230621338E0,1.058298104E1
3.885694000E-1,8.571166992E-1,1.059674072E1,-1.307235718E0,1.071141579E1
3.936048010E-1,8.954315186E-1,1.063504028E1,-1.335968018E0,1.075596067E1
3.986096830E-1,9.481048584E-1,1.063504028E1,-1.297653198E0,1.075578395E1
4.036450840E-1,1.110916138E0,1.062547302E1,-1.182739258E0,1.074865963E1
4.086804840E-1,1.254562378E0,1.058236694E1,-9.816284180E-1,1.070158919E1
4.136853670E-1,1.388641357E0,1.053927612E1,-7.709350586E-1,1.065828349E1
4.187207670E-1,1.493988037E0,1.048660278E1,-5.793914795E-1,1.060832374E1
4.237561680E-1,1.613693237E0,1.044830322E1,-3.687133789E-1,1.057861029E1
4.287915680E-1,1.666366577E0,1.041957092E1,-1.675872803E-1,1.055330855E1
4.337964510E-1,1.675933838E0,1.040040588E1,-3.352355957E-2,1.053462484E1
4.388318510E-1,1.618484497E0,1.035252380E1,3.831481934E-2,1.047834477E1
4.438672520E-1,1.575378418E0,1.031422424E1,2.394104004E-2,1.043386851E1
4.489026520E-1,1.479614258E0,1.028070068E1,9.582519531E-3,1.038663356E1
4.539075350E-1,1.402999878E0,1.028549194E1,7.182312012E-2,1.038098799E1
4.589429350E-1,1.331176758E0,1.034774780E1,1.101379395E-1,1.043360180E1
4.639783360E-1,1.374267578E0,1.054885864E1,1.149291992E-1,1.063862015E1
4.689832180E-1,1.297653198E0,1.083615112E1,-4.791259766E-3,1.091357402E1
4.740186190E-1,1.259353638E0,1.115219116E1,-2.920989990E-1,1.122687228E1
4.790540190E-1,1.192306519E0,1.146343994E1,-6.799468994E-1,1.154531844E1
4.840894200E-1,1.168365479E0,1.169328308E1,-1.115692139E0,1.180435157E1
