"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.934310100E-2,-2.700653076E0,1.259350586E1,-3.318359375E0,1.330042953E1
3.660628500E-2,-1.565811157E0,1.158314514E1,-2.470809937E0,1.194679529E1
4.161116800E-2,-4.788360596E-1,1.073081970E1,-1.570602417E0,1.085571589E1
4.676863800E-2,4.022216797E-1,9.993392944E0,-8.236083984E-1,1.003533834E1
5.177352100E-2,1.134857178E0,9.509765625E0,-1.292877197E-1,9.578113508E0
5.674788600E-2,1.656784058E0,9.236831665E0,5.937652588E-1,9.403007487E0
6.175276900E-2,1.805221558E0,9.165008545E0,1.302444458E0,9.431466910E0
6.675765200E-2,1.661575317E0,9.222457886E0,1.867477417E0,9.555209778E0
7.176253500E-2,1.321594238E0,9.294296265E0,2.255340576E0,9.654901113E0
7.676741800E-2,9.097900391E-1,9.404418945E0,2.207458496E0,9.702766957E0
8.180281800E-2,5.171508789E-1,9.562438965E0,1.771713257E0,9.738924574E0
8.680770100E-2,8.140563965E-2,9.677368164E0,1.048660278E0,9.734360269E0
9.181258400E-2,-3.926544189E-1,9.706100464E0,2.777252197E-1,9.718008798E0
9.684798400E-2,-7.996673584E-1,9.730041504E0,-3.303985596E-1,9.768435840E0
1.018528670E-1,-1.144424438E0,9.792282104E0,-8.044586182E-1,9.891696001E0
1.068882670E-1,-1.417373657E0,9.821014404E0,-1.206680298E0,9.995866613E0
1.118931500E-1,-1.685516357E0,9.907211304E0,-1.484405518E0,1.015860527E1
1.169285510E-1,-1.517929077E0,9.993392944E0,-1.556228638E0,1.022711390E1
1.219639510E-1,-1.173156738E0,1.008917236E1,-1.623275757E0,1.028604491E1
1.269688340E-1,-6.224975586E-1,1.011788940E1,-1.522705078E0,1.025074729E1
1.320042340E-1,-1.723785400E-1,1.010353088E1,-1.312026978E0,1.018982166E1
1.370396350E-1,1.771697998E-1,1.005564880E1,-1.067810059E0,1.011373721E1
1.420445170E-1,4.261627197E-1,9.993392944E0,-9.337310791E-1,1.004596292E1
