"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.560505700E-2,-1.733398438E0,8.987838745E0,4.836273193E-1,9.166232096E0
3.060994000E-2,-1.632843018E0,9.054870605E0,2.920989990E-1,9.205551576E0
3.561482300E-2,-1.460464478E0,9.198516846E0,-3.352355957E-2,9.313795815E0
4.074177600E-2,-1.216247559E0,9.308654785E0,-3.734893799E-1,9.395201241E0
4.574665900E-2,-1.000778198E0,9.370910645E0,-7.134704590E-1,9.451167304E0
5.075154200E-2,-8.523406982E-1,9.409210205E0,-9.864044189E-1,9.499090221E0
5.572590700E-2,-7.757263184E-1,9.414001465E0,-1.173156738E0,9.518480532E0
6.073079000E-2,-7.565612793E-1,9.433151245E0,-1.235412598E0,9.543739920E0
6.576619000E-2,-7.805023193E-1,9.390060425E0,-1.187530518E0,9.496980961E0
7.077107300E-2,-8.379669189E-1,9.279922485E0,-1.053451538E0,9.377041646E0
7.577595600E-2,-8.666992188E-1,9.117126465E0,-8.619079590E-1,9.198698160E0
8.078083900E-2,-8.810729980E-1,8.944732666E0,-6.655883789E-1,9.012632245E0
8.581623900E-2,-9.385223389E-1,8.801086426E0,-4.644775391E-1,8.863164550E0
9.082112200E-2,-9.193725586E-1,8.705322266E0,-2.154846191E-1,8.756387113E0
9.585652200E-2,-8.762817383E-1,8.705322266E0,1.005554199E-1,8.749892389E0
1.008919230E-1,-8.379669189E-1,8.748413086E0,4.261627197E-1,8.798780299E0
1.058968050E-1,-7.613525391E-1,8.791503906E0,5.985565186E-1,8.844685892E0
1.109322060E-1,-6.224975586E-1,8.820236206E0,5.889739990E-1,8.861769593E0
1.159370890E-1,-4.405364990E-1,8.834609985E0,4.405364990E-1,8.856550028E0
1.209724890E-1,-1.915435791E-1,8.834609985E0,1.771697998E-1,8.838462065E0
1.260078890E-1,8.140563965E-2,8.868118286E0,-5.746459961E-2,8.868678086E0
1.310127720E-1,3.974304199E-1,8.906433105E0,-2.537841797E-1,8.918907333E0
1.360481730E-1,7.086791992E-1,8.978256226E0,-3.447723389E-1,9.012778652E0
1.410835730E-1,9.528961182E-1,9.050079346E0,-3.303985596E-1,9.106102920E0
1.460884560E-1,1.115692139E0,9.078811646E0,-2.633666992E-1,9.150898965E0
1.511238560E-1,1.173156738E0,9.097961426E0,-1.819610596E-1,9.175091752E0
1.561592570E-1,1.130065918E0,9.093185425E0,-1.005554199E-1,9.163688206E0
1.611641390E-1,9.768371582E-1,9.064453125E0,-5.746459961E-2,9.117117059E0
1.661995400E-1,7.805023193E-1,9.035720825E0,-4.309082031E-2,9.069470300E0
1.712349400E-1,5.746154785E-1,9.026138306E0,-4.788208008E-2,9.044536934E0
1.762703410E-1,3.687133789E-1,9.117126465E0,-2.873229980E-2,9.124624380E0
1.812752230E-1,3.878631592E-1,9.179367065E0,-5.267333984E-2,9.187708748E0
1.863106240E-1,3.926544189E-1,9.236831665E0,-3.831481934E-2,9.245253092E0
1.913460240E-1,4.501037598E-1,9.284713745E0,-1.914978027E-2,9.295637118E0
1.963509070E-1,5.219421387E-1,9.327804565E0,1.914978027E-2,9.342415551E0
2.013863070E-1,6.272735596E-1,9.390060425E0,4.309082031E-2,9.411087276E0
2.064217080E-1,7.565612793E-1,9.452316284E0,1.005554199E-1,9.483078588E0
2.114571080E-1,8.331756592E-1,9.524139404E0,1.915435791E-1,9.562431804E0
2.164619910E-1,9.145812988E-1,9.567230225E0,2.633666992E-1,9.614453450E0
2.214973910E-1,9.576873779E-1,9.586380005E0,3.303985596E-1,9.639761922E0
2.265327920E-1,9.002227783E-1,9.576812744E0,3.782806396E-1,9.626465583E0
2.315376750E-1,8.331756592E-1,9.562438965E0,4.022216797E-1,9.607091283E0
2.365730750E-1,7.805023193E-1,9.581588745E0,4.165954590E-1,9.622347870E0
2.416084750E-1,7.326202393E-1,9.610321045E0,4.118041992E-1,9.646998792E0
2.466438760E-1,6.129150391E-1,9.605545044E0,4.165954590E-1,9.634091146E0
2.516487590E-1,4.261627197E-1,9.591171265E0,4.405364990E-1,9.610736356E0
2.566841590E-1,2.250518799E-1,9.557647705E0,4.692687988E-1,9.571807103E0
2.617195590E-1,6.225585938E-2,9.552871704E0,5.506591797E-1,9.568931974E0
2.667244420E-1,-1.005554199E-1,9.567230225E0,6.799468994E-1,9.591888935E0
2.717598430E-1,-2.346343994E-1,9.591171265E0,8.810729980E-1,9.634412756E0
2.767952430E-1,-3.160400391E-1,9.643844604E0,1.086975098E0,9.710053292E0
2.818306430E-1,-3.160400391E-1,9.691726685E0,1.211471558E0,9.772262316E0
2.868355260E-1,-3.064575195E-1,9.734817505E0,1.374267578E0,9.836117092E0
2.918709270E-1,-2.250518799E-1,9.739608765E0,1.436523438E0,9.847549280E0
2.969063270E-1,-1.340789795E-1,9.734817505E0,1.450881958E0,9.843256955E0
3.019112100E-1,-2.873229980E-2,9.730041504E0,1.426940918E0,9.834159527E0
3.069466100E-1,4.788208008E-2,9.672576904E0,1.407791138E0,9.774605493E0
3.119820110E-1,1.532287598E-1,9.610321045E0,1.359909058E0,9.707270589E0
3.170174110E-1,2.968750000E-1,9.495407104E0,1.326385498E0,9.592194188E0
3.220222940E-1,3.591308594E-1,9.375701904E0,1.335968018E0,9.477213289E0
3.270576940E-1,3.495483398E-1,9.246414185E0,1.422149658E0,9.361670202E0
3.320930940E-1,2.585754395E-1,9.083602905E0,1.460464478E0,9.203893713E0
3.370979770E-1,1.580200195E-1,8.916000366E0,1.489196777E0,9.040892649E0
3.421333780E-1,1.723785400E-1,8.777145386E0,1.527496338E0,8.910737374E0
3.471687780E-1,1.580200195E-1,8.647857666E0,1.541870117E0,8.785657403E0
3.522041780E-1,1.436462402E-1,8.537719727E0,1.580169678E0,8.683906297E0
3.572090610E-1,2.011108398E-1,8.480270386E0,1.666366577E0,8.644779289E0
3.622444620E-1,2.011108398E-1,8.470687866E0,1.771713257E0,8.656325223E0
3.672798620E-1,2.681579590E-1,8.499420166E0,1.872268677E0,8.707321164E0
3.722847450E-1,4.309539795E-1,8.561660767E0,1.991973877E0,8.800892929E0
3.773201450E-1,5.506591797E-1,8.671798706E0,2.149993896E0,8.951301139E0
3.823555460E-1,7.182617188E-1,8.810668945E0,2.260131836E0,9.124252467E0
3.873909460E-1,9.337310791E-1,8.978256226E0,2.317581177E0,9.319448540E0
3.923958290E-1,1.101333618E0,9.145843506E0,2.351104736E0,9.507212139E0
3.974312290E-1,1.225830078E0,9.279922485E0,2.394195557E0,9.661873166E0
4.024666300E-1,1.331176758E0,9.414001465E0,2.355895996E0,9.795187649E0
4.074715120E-1,1.402999878E0,9.524139404E0,2.284072876E0,9.894171464E0
4.125069130E-1,1.479614258E0,9.615112305E0,2.140411377E0,9.960974041E0
4.175423130E-1,1.561019897E0,9.686935425E0,1.987182617E0,1.001111361E1
4.225777140E-1,1.589752197E0,9.730041504E0,1.771713257E0,1.001698495E1
4.275825960E-1,1.517929077E0,9.744400024E0,1.580169678E0,9.987711286E0
4.326179970E-1,1.355117798E0,9.725250244E0,1.393432617E0,9.917584939E0
4.376533970E-1,1.254562378E0,9.715667725E0,1.369476318E0,9.891591959E0
4.426582800E-1,1.067810059E0,9.667785645E0,1.326385498E0,9.816597989E0
4.476936800E-1,7.948760986E-1,9.595962524E0,1.374267578E0,9.726404071E0
4.527290810E-1,5.315093994E-1,9.481033325E0,1.465255737E0,9.608302115E0
4.577339640E-1,3.112487793E-1,9.356536865E0,1.570602417E0,9.492547069E0
4.627693640E-1,7.661437988E-2,9.251190186E0,1.776504517E0,9.420528537E0
4.678047640E-1,-1.388702393E-1,9.169799805E0,2.001556396E0,9.386732201E0
4.728401650E-1,-3.926544189E-1,9.093185425E0,2.193084717E0,9.362148217E0
4.778450480E-1,-6.607971191E-1,9.050079346E0,2.331954956E0,9.369023584E0
4.828804480E-1,-1.096542358E0,8.978256226E0,2.389419556E0,9.355256053E0
4.879158480E-1,-1.345535278E0,9.002197266E0,2.413360596E0,9.416704846E0
4.929512490E-1,-1.402999878E0,9.074020386E0,2.470809937E0,9.508478131E0
4.979561320E-1,-1.470046997E0,9.188949585E0,2.590530396E0,9.659641835E0
5.029915320E-1,-1.508346558E0,9.361328125E0,2.643203735E0,9.843581644E0
5.080269320E-1,-1.493988037E0,9.567230225E0,2.676712036E0,1.004632678E1
5.130318150E-1,-1.479614258E0,9.859329224E0,2.729385376E0,1.033659400E1
5.180672160E-1,-1.211471558E0,1.022802734E1,2.738967896E0,1.065749275E1
5.231026160E-1,-1.000778198E0,1.059194946E1,2.844314575E0,1.101276876E1
5.281380160E-1,-7.709350586E-1,1.088882446E1,2.801208496E0,1.126976522E1
5.331428990E-1,-4.357452393E-1,1.110910034E1,2.743759155E0,1.145120948E1
5.381783000E-1,-1.723785400E-1,1.121444702E1,2.729385376E0,1.154309668E1
5.432137000E-1,2.394256592E-1,1.120965576E1,2.595321655E0,1.150866636E1
5.482185830E-1,5.889739990E-1,1.110430908E1,2.647979736E0,1.143085155E1
5.532539830E-1,8.379669189E-1,1.094628906E1,2.604888916E0,1.128312364E1
5.582893840E-1,1.120483398E0,1.076911926E1,2.614471436E0,1.113844126E1
5.633247840E-1,1.278503418E0,1.062068176E1,2.729385376E0,1.104006325E1
5.683296670E-1,1.398208618E0,1.051533508E1,2.935287476E0,1.100650589E1
5.733650670E-1,1.527496338E0,1.043392944E1,3.136398315E0,1.100168728E1
5.784004680E-1,1.723831177E0,1.039562988E1,3.337524414E0,1.105349645E1
5.834053500E-1,2.001556396E0,1.041477966E1,3.538635254E0,1.118015219E1
5.884407510E-1,2.149993896E0,1.047702026E1,3.792419434E0,1.134781356E1
5.934761510E-1,2.106903076E0,1.054406738E1,4.050994873E0,1.149029839E1
5.985115520E-1,2.073379517E0,1.059194946E1,4.180282593E0,1.157424117E1
6.035164340E-1,2.106903076E0,1.063983154E1,4.141967773E0,1.161038125E1
6.085518350E-1,2.149993896E0,1.066377258E1,3.859451294E0,1.154269829E1
6.135872350E-1,2.183517456E0,1.073559570E1,3.428497314E0,1.147934482E1
6.185921180E-1,2.178726196E0,1.093670654E1,3.011901855E0,1.155118828E1
6.236275180E-1,2.006347656E0,1.127189636E1,2.667144775E0,1.175562588E1
6.286629190E-1,1.747772217E0,1.164060974E1,2.456451416E0,1.202466866E1
6.336983190E-1,1.426940918E0,1.199015808E1,2.308013916E0,1.229337136E1
6.387032020E-1,1.072601318E0,1.225831604E1,2.154785156E0,1.249239308E1
6.437386020E-1,6.703796387E-1,1.237802124E1,1.857894897E0,1.253461576E1
6.487740030E-1,2.968750000E-1,1.234449768E1,1.350326538E0,1.242168022E1
6.538094030E-1,-2.873229980E-2,1.218170166E1,7.613525391E-1,1.220550444E1
6.588142860E-1,-3.112487793E-1,1.185609436E1,2.202606201E-1,1.186222424E1
6.638496860E-1,-6.081237793E-1,1.138682556E1,-1.197052002E-1,1.140368099E1
6.688850870E-1,-9.720458984E-1,1.081221008E1,-2.106933594E-1,1.085786129E1
6.738899690E-1,-1.264144897E0,1.021846008E1,-7.661437988E-2,1.029664307E1
6.789253700E-1,-1.517929077E0,9.658203125E0,9.097290039E-2,9.777181207E0
6.839607700E-1,-1.742980957E0,9.165008545E0,3.303985596E-1,9.335123323E0
6.889961710E-1,-1.891418457E0,8.781936646E0,7.086791992E-1,9.011220851E0
6.940010530E-1,-1.924942017E0,8.523361206E0,1.130065918E0,8.810796615E0
6.990364540E-1,-1.848327637E0,8.408432007E0,1.484405518E0,8.736217923E0
7.040718540E-1,-1.685516357E0,8.374923706E0,1.728607178E0,8.715985042E0
7.090767370E-1,-1.470046997E0,8.389282227E0,1.805221558E0,8.706314911E0
7.141121370E-1,-1.259353638E0,8.446746826E0,1.757339478E0,8.719044992E0
7.191475380E-1,-1.039077759E0,8.513778687E0,1.532287598E0,8.712750162E0
7.241829380E-1,-8.714904785E-1,8.599975586E0,1.163589478E0,8.721984648E0
7.291878210E-1,-6.607971191E-1,8.671798706E0,6.991119385E-1,8.724993016E0
7.342232210E-1,-4.596862793E-1,8.762771606E0,2.346343994E-1,8.777957109E0
7.392586220E-1,-2.346343994E-1,8.954315186E0,-9.097290039E-2,8.957850736E0
7.442635050E-1,1.435852051E-2,9.179367065E0,-3.064575195E-1,9.184492479E0
7.492989050E-1,1.532287598E-1,9.404418945E0,-3.782806396E-1,9.413271004E0
7.543343050E-1,1.197052002E-1,9.615112305E0,-4.405364990E-1,9.625943402E0
7.593697060E-1,5.267333984E-2,9.773132324E0,-4.980010986E-1,9.785953965E0
7.643745890E-1,-9.582519531E-3,9.883270264E0,-6.081237793E-1,9.901966343E0
7.694099890E-1,-4.788208008E-2,9.931152344E0,-6.607971191E-1,9.953227235E0
7.744453890E-1,-8.619689941E-2,9.912002563E0,-6.655883789E-1,9.934698416E0
7.794807900E-1,-1.963195801E-1,9.902420044E0,-5.650329590E-1,9.920470067E0
7.844856730E-1,-3.208160400E-1,9.892837524E0,-4.788360596E-1,9.909613574E0
7.895210730E-1,-4.836273193E-1,9.844955444E0,-3.878631592E-1,9.864455429E0
7.945564730E-1,-6.320648193E-1,9.768341064E0,-2.250518799E-1,9.791355444E0
7.995918740E-1,-7.757263184E-1,9.691726685E0,-5.267333984E-2,9.722864389E0
8.045967570E-1,-8.906402588E-1,9.567230225E0,1.580200195E-1,9.609896179E0
8.096321570E-1,-9.959869385E-1,9.409210205E0,2.777252197E-1,9.465852205E0
8.146675570E-1,-1.149215698E0,9.236831665E0,3.447723389E-1,9.314430949E0
8.196724400E-1,-1.350326538E0,9.045288086E0,3.543395996E-1,9.152386294E0
8.247078410E-1,-1.493988037E0,8.892059326E0,3.256072998E-1,9.022568339E0
8.297432410E-1,-1.604110718E0,8.796295166E0,3.926544189E-1,8.949980857E0
8.347786410E-1,-1.642425537E0,8.719680786E0,4.980010986E-1,8.886979225E0
8.397835240E-1,-1.661575317E0,8.667007446E0,6.607971191E-1,8.849548206E0
8.448189250E-1,-1.532287598E0,8.643066406E0,8.331756592E-1,8.817294589E0
8.498543250E-1,-1.383850098E0,8.643066406E0,1.000778198E0,8.810175651E0
8.548897250E-1,-1.177947998E0,8.705322266E0,1.154006958E0,8.860131449E0
8.598946080E-1,-1.029510498E0,8.805877686E0,1.278503418E0,8.957563545E0
8.649300090E-1,-8.858489990E-1,8.916000366E0,1.316818237E0,9.056147153E0
8.699654090E-1,-7.517852783E-1,9.030929565E0,1.331176758E0,9.159416001E0
8.750008090E-1,-6.607971191E-1,9.184158325E0,1.297653198E0,9.298888148E0
8.800056920E-1,-5.889739990E-1,9.294296265E0,1.225830078E0,9.393268484E0
8.850410930E-1,-5.171508789E-1,9.399642944E0,1.110916138E0,9.479180723E0
8.900764930E-1,-5.075683594E-1,9.447525024E0,9.576873779E-1,9.509496298E0
8.950813760E-1,-4.788360596E-1,9.433151245E0,7.374114990E-1,9.474038321E0
9.001167760E-1,-4.644775391E-1,9.390060425E0,5.315093994E-1,9.416553319E0
9.051521770E-1,-4.070129395E-1,9.394851685E0,3.495483398E-1,9.410158434E0
9.101875770E-1,-3.830718994E-1,9.409210205E0,2.059020996E-1,9.419255620E0
9.151924600E-1,-3.830718994E-1,9.418792725E0,1.340789795E-1,9.427532956E0
9.202278600E-1,-2.968750000E-1,9.404418945E0,1.723785400E-1,9.410682485E0
9.252632610E-1,-1.963195801E-1,9.332595825E0,3.495483398E-1,9.341202827E0
9.302681430E-1,-8.140563965E-2,9.255981445E0,5.698242188E-1,9.273862142E0
9.353035440E-1,4.788208008E-2,9.126693726E0,8.619079590E-1,9.167426923E0
9.403389440E-1,3.831481934E-2,9.026138306E0,1.048660278E0,9.086931777E0
9.453743440E-1,-1.149291992E-1,8.882492065E0,1.168365479E0,8.959740616E0
9.503792270E-1,-2.873077393E-1,8.748413086E0,1.302444458E0,8.849499355E0
9.554146280E-1,-4.596862793E-1,8.700531006E0,1.407791138E0,8.825668652E0
9.604500280E-1,-5.506591797E-1,8.710113525E0,1.436523438E0,8.844936560E0
9.654549110E-1,-6.177062988E-1,8.767562866E0,1.426940918E0,8.904374210E0
9.704903110E-1,-8.188171387E-1,8.825027466E0,1.455673218E0,8.981678896E0
9.755257120E-1,-9.959869385E-1,8.911224365E0,1.417373657E0,9.078042617E0
9.805611120E-1,-1.091751099E0,9.069229126E0,1.340759277E0,9.232576717E0
9.855659950E-1,-1.192306519E0,9.222457886E0,1.235412598E0,9.380915125E0
9.906013950E-1,-1.187530518E0,9.375701904E0,1.158798218E0,9.521387937E0
9.956367960E-1,-1.134857178E0,9.538497925E0,1.120483398E0,9.670901019E0
1.000641678E0,-1.072601318E0,9.682159424E0,1.072601318E0,9.800263174E0
1.005677079E0,-1.019927979E0,9.816223145E0,1.082183838E0,9.928222991E0
1.010712479E0,-9.481048584E-1,9.916778564E0,1.139633179E0,1.002697181E1
1.015747880E0,-8.619079590E-1,9.955093384E0,1.144424438E0,1.005765763E1
1.020752762E0,-7.374114990E-1,9.964660645E0,1.182739258E0,1.006166535E1
1.025788163E0,-6.224975586E-1,9.935943604E0,1.201889038E0,1.002771239E1
1.030823563E0,-5.267181396E-1,9.868896484E0,1.221038818E0,9.958086443E0
1.035828446E0,-4.740447998E-1,9.768341064E0,1.244979858E0,9.858761609E0
1.040863846E0,-4.453277588E-1,9.658203125E0,1.302444458E0,9.755796532E0
1.045899247E0,-4.213867188E-1,9.533706665E0,1.355117798E0,9.638748559E0
1.050904130E0,-3.830718994E-1,9.423583984E0,1.470046997E0,9.545245799E0
1.055939530E0,-3.543395996E-1,9.327804565E0,1.561019897E0,9.464157526E0
1.060974930E0,-3.734893799E-1,9.241622925E0,1.623275757E0,9.390533147E0
1.066010331E0,-4.022216797E-1,9.203308105E0,1.651992798E0,9.359046029E0
1.071015214E0,-4.596862793E-1,9.222457886E0,1.656784058E0,9.381363139E0
1.076050614E0,-4.980010986E-1,9.270355225E0,1.680725098E0,9.434634489E0
1.081086014E0,-5.219421387E-1,9.332595825E0,1.637634277E0,9.489552911E0
1.086090897E0,-5.554504395E-1,9.380477905E0,1.580169678E0,9.528841857E0
1.091126298E0,-5.315093994E-1,9.447525024E0,1.484405518E0,9.578188298E0
1.096161698E0,-5.650329590E-1,9.543289185E0,1.417373657E0,9.664500959E0
1.101197098E0,-6.464385986E-1,9.672576904E0,1.374267578E0,9.791079522E0
1.106201981E0,-6.703796387E-1,9.792282104E0,1.316818237E0,9.903141317E0
1.111237382E0,-6.512298584E-1,9.950302124E0,1.331176758E0,1.006005190E1
1.116272782E0,-6.464385986E-1,1.011788940E1,1.412582397E0,1.023645241E1
1.121277665E0,-6.224975586E-1,1.028070068E1,1.503555298E0,1.040869772E1
1.126313065E0,-6.033325195E-1,1.042436218E1,1.584960938E0,1.056141270E1
1.131348466E0,-5.793914795E-1,1.050575256E1,1.651992798E0,1.065061555E1
1.136383866E0,-5.315093994E-1,1.054406738E1,1.675933838E0,1.068964983E1
1.141388749E0,-4.692687988E-1,1.051533508E1,1.584960938E0,1.064446271E1
1.146424149E0,-4.118041992E-1,1.046266174E1,1.465255737E0,1.057278808E1
1.151459550E0,-3.591308594E-1,1.037646484E1,1.388641357E0,1.047512876E1
1.156464432E0,-3.160400391E-1,1.029507446E1,1.359909058E0,1.038931144E1
1.161499833E0,-2.873077393E-1,1.023760986E1,1.422149658E0,1.033990866E1
1.166535233E0,-2.825164795E-1,1.018972778E1,1.527496338E0,1.030745424E1
1.171570634E0,-3.016662598E-1,1.018014526E1,1.637634277E0,1.031543533E1
1.176575516E0,-3.256072998E-1,1.019929504E1,1.795654297E0,1.036127472E1
1.181610917E0,-3.256072998E-1,1.027111816E1,1.958450317E0,1.046123397E1
