BioWare 3.0 Export
Device:	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA
Samples (#):	3107	3107	3107	3107
Rate (Hz):	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	3106	3106	3106	3106
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	15.530000	15.530000	15.530000	15.530000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	692.799622	692.799622	692.799622	692.799622
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft
	N	N	N	N
0.000000	-2.168228	1.047621	572.513885	572.518950
0.005000	-3.218235	0.040907	568.494637	568.503747
0.010000	-3.374795	-0.113560	567.297073	567.307123
0.015000	-2.673401	0.622735	571.662384	571.668974
0.020000	-2.751532	0.118347	570.721092	570.727737
0.025000	-3.141592	-0.500344	566.529541	566.538472
0.030000	-2.362961	0.234301	570.465027	570.469969
0.035000	-3.374795	-0.617122	564.989464	564.999880
0.040000	-3.102824	-0.306539	566.959648	566.968221
0.045000	-3.064652	-0.538858	566.103210	566.111762
0.050000	-2.596759	0.118759	569.782814	569.788744
0.055000	-2.636122	0.118759	569.357315	569.363430
0.060000	-2.519818	0.235126	569.270332	569.275958
0.065000	-3.220319	-0.422492	564.991653	565.000989
0.070000	-3.220617	-0.306952	566.020309	566.029555
0.075000	-3.609487	-0.229925	564.820824	564.832404
0.080000	-2.637015	0.545709	569.187004	569.193374
0.085000	-3.064652	0.235126	568.162201	568.170515
0.090000	-2.948647	0.544470	567.989922	567.997836
0.095000	-2.792682	1.047621	569.359566	569.367378
0.100000	-3.299344	0.892742	567.305923	567.316220
0.105000	-3.065546	0.969769	568.332405	568.341500
0.110000	-3.376284	0.892742	567.562653	567.573397
0.115000	-3.454713	0.814477	566.623047	566.634164
0.120000	-3.649446	0.814477	566.965843	566.978173
0.125000	-3.221808	1.278702	568.591110	568.601676
0.130000	-3.844177	0.698937	566.108971	566.122454
